从此无直播,#genre#
从此无直播1_12834377,#genre#
CCTV1,http://60.255.120.30:89/live2/live2.m3u8
CCTV1,http://221.213.43.82:8888/newlive/live/hls/2/live.m3u8
CCTV2,http://221.213.43.82:8888/newlive/live/hls/3/live.m3u8
CCTV4,http://221.213.43.82:8888/newlive/live/hls/5/live.m3u8
CCTV5,http://221.213.43.82:8888/newlive/live/hls/6/live.m3u8
CCTV5+,http://221.213.43.82:8888/newlive/live/hls/7/live.m3u8
CCTV9,http://221.213.43.82:8888/newlive/live/hls/11/live.m3u8
CCTV10,http://221.213.43.82:8888/newlive/live/hls/12/live.m3u8
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV13,http://221.213.43.82:8888/newlive/live/hls/15/live.m3u8
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mud.m3u8
CCTV15,http://221.213.43.82:8888/newlive/live/hls/17/live.m3u8
CCTV6,http://221.213.43.82:8888/newlive/live/hls/8/live.m3u8
CCTV14,http://221.213.43.82:8888/newlive/live/hls/16/live.m3u8
CCTV12,http://221.213.43.82:8888/newlive/live/hls/14/live.m3u8
CCTV3,http://221.213.43.82:8888/newlive/live/hls/4/live.m3u8
CCTV7,http://221.213.43.82:8888/newlive/live/hls/9/live.m3u8
CCTV11,http://221.213.43.82:8888/newlive/live/hls/13/live.m3u8
从此无直播2_12834377,#genre#
北京卫视,http://221.213.43.82:8888/newlive/live/hls/19/live.m3u8
东方卫视,http://221.213.43.82:8888/newlive/live/hls/20/live.m3u8
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
浙江卫视,http://221.213.43.82:8888/newlive/live/hls/24/live.m3u8
江苏卫视,http://221.213.43.82:8888/newlive/live/hls/22/live.m3u8
湖南卫视,http://221.213.43.82:8888/newlive/live/hls/23/live.m3u8
广东卫视,http://221.213.43.82:8888/newlive/live/hls/21/live.m3u8
深圳卫视,http://221.213.43.82:8888/newlive/live/hls/28/live.m3u8
黑龙江卫视,http://221.213.43.82:8888/newlive/live/hls/44/live.m3u8
山东卫视,http://221.213.43.82:8888/newlive/live/hls/30/live.m3u8
湖北卫视,http://221.213.43.82:8888/newlive/live/hls/34/live.m3u8
安徽卫视,http://221.213.43.82:8888/newlive/live/hls/25/live.m3u8
江西卫视,http://221.213.43.82:8888/newlive/live/hls/46/live.m3u8
辽宁卫视,http://221.213.43.82:8888/newlive/live/hls/43/live.m3u8
天津卫视,http://221.213.43.82:8888/newlive/live/hls/42/live.m3u8
云南卫视,http://tvlive.ynradio.com/live/yunnanweishi/chunks.m3u8
云南卫视,http://221.213.43.82:8888/newlive/live/hls/27/live.m3u8
云南卫视,http://tvlive.ynradio.com/live/yunnanweishi/playlist.m3u8
广西卫视,http://221.213.43.82:8888/newlive/live/hls/26/live.m3u8
吉林卫视,http://221.213.43.82:8888/newlive/live/hls/35/live.m3u8
宁夏卫视,http://221.213.43.82:8888/newlive/live/hls/40/live.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=f35a89681647856030
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=63cf437e1591689484
青海卫视,http://221.213.43.82:8888/newlive/live/hls/39/live.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=1da074361609506578
西藏卫视,http://221.213.43.82:8888/newlive/live/hls/37/live.m3u8
陕西卫视,http://221.213.43.82:8888/newlive/live/hls/41/live.m3u8
内蒙古卫视,http://221.213.43.82:8888/newlive/live/hls/49/live.m3u8
新疆卫视,http://221.213.43.82:8888/newlive/live/hls/38/live.m3u8
河南卫视,http://221.213.43.82:8888/newlive/live/hls/33/live.m3u8
海南卫视,http://221.213.43.82:8888/newlive/live/hls/50/live.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-28bc40431485/index.m3u8
延边卫视,http://live.ybtvyun.com/video/s10016-7e5f23de35df/index.m3u8
延边卫视,http://live.ybtvyun.com/video/s10016-6f0dfd97912f/index.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-90fe76c52091/index.m3u8
三沙卫视,https://pullsstv90080111.ssws.tv/live/SSTV20220729.m3u8
安多卫视,http://stream.qhbtv.com/adws/sd/live.m3u8
康巴卫视,http://111.202.12.159:8080/kYGHWzA/1000/live.m3u8
康巴卫视,http://111.202.12.159:8080/3zvkK28/1000/live.m3u8

CGTN-英语新闻,http://live.cgtn.com/1000/prog_index.m3u8
CGTN-英语新闻,http://live.cgtn.com/500/prog_index.m3u8
CGTN-俄罗斯语国际,http://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN-西班牙语国际,http://livees.cgtn.com/1000e/prog_index.m3u8
CCTV移动,http://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/649e19038fa74514ab3f00febbcd6de0/1200.m3u8
书画频道,http://211.103.180.178:8234/live_hls/hdmi.m3u8
重庆卫视,http://221.213.43.82:8888/newlive/live/hls/31/live.m3u8
四川卫视,http://221.213.43.82:8888/newlive/live/hls/32/live.m3u8
河北卫视,http://221.213.43.82:8888/newlive/live/hls/45/live.m3u8
山西卫视,http://221.213.43.82:8888/newlive/live/hls/48/live.m3u8
贵州卫视,http://221.213.43.82:8888/newlive/live/hls/29/live.m3u8
甘肃卫视,http://221.213.43.82:8888/newlive/live/hls/36/live.m3u8
万州影视,http://wanzhoulive.cbg.cn:8017/d4ceB1a/1000/live.m3u8
万州影视,http://123.146.162.24:8017/d4ceB1a/1000/live.m3u8
河北影视,https://jwplay.hebyun.com.cn:443/live/hbystv/1500k/tzwj_video.m3u8
南宁影视,http://hls.nntv.cn/nnlive/NNTV_VOD_A.m3u8
绍兴影视,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
溧水影视,http://live.lsrmw.cn/ysyl/sd/live.m3u8
吉林影视,http://stream1.jlntv.cn/yspd/sd/live.m3u8
吉林影视,http://stream1.jlntv.cn/yspd/sd/live.m3u8?_upt=f6b685651648171016
滨海影视,http://traffic.jbh.tjbh.com/live/bhtv3/playlist.m3u8
烟台影视,http://live.yantaitv.cn/live/e9f1d9045d474c31884d13fa4ffbbd16/a4a9b3704d854756907845107cc56129.m3u8
烟台影视,http://live.yantaitv.cn/live/e9f1d9045d474c31884d13fa4ffbbd16/a4a9b3704d854756907845107cc56129-1.m3u8
菏泽影视,http://live.hznet.tv:1935/live/live3/500K/tzwj_video.m3u8
长沙影视,https://hls.quklive.com/live/1551749282880742/index.m3u8
北京影视,https://wstvcpudali.v.myalicdn.com/wstvcpud/udrmbtv4_1/index.m3u8?adapt=0&BR=audio
新泰影视,http://111.17.214.4:1935/live/xtys/playlist.m3u8
新昌休闲影视,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
石河子影视文体,http://124.88.144.73:1935/live/jjsh/HasBahCa.m3u8
美丽中国说,http://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/8cdd688b04e4495ba1635e218419d6f9/4000.m3u8
长城精品,http://38.64.72.148:80/hls/modn/list/4008/chunklist0.m3u8
中国气象,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
CGTN Arabic,http://livear.cgtn.com/1000a/prog_index.m3u8
CGTN Español,http://livees.cgtn.com/500e/prog_index.m3u8
CGTN France,http://livefr.cgtn.com/1000f/prog_index.m3u8
斗鱼电影,http://tc-tct.douyucdn2.cn/dyliveflv1/122402rK7MO9bXSq_2000.flv?wsAuth=8cea39337984fd3341cc9ec569502e4f&token=cpn-androidmpro-0-122402-0fcea45d2300cfa0ac75fafd8679bb53af10de8c33ae99d9&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
